,obj_value
954,tensor(0.0470)
955,tensor(0.0465)
956,tensor(0.0459)
957,tensor(0.0448)
958,tensor(0.0498)
959,tensor(0.0472)
960,tensor(0.0475)
961,tensor(0.0449)
962,tensor(0.0439)
963,tensor(0.0466)
964,tensor(0.0456)
965,tensor(0.0469)
966,tensor(0.0446)
967,tensor(0.0486)
968,tensor(0.0437)
969,tensor(0.0494)
970,tensor(0.0457)
971,tensor(0.0475)
972,tensor(0.0479)
973,tensor(0.0465)
974,tensor(0.0472)
975,tensor(0.0425)
976,tensor(0.0428)
977,tensor(0.0504)
978,tensor(0.0476)
979,tensor(0.0484)
980,tensor(0.0479)
981,tensor(0.0448)
982,tensor(0.0492)
983,tensor(0.0448)
984,tensor(0.0463)
985,tensor(0.0471)
986,tensor(0.0473)
987,tensor(0.0490)
988,tensor(0.0447)
989,tensor(0.0445)
990,tensor(0.0469)
991,tensor(0.0452)
992,tensor(0.0436)
993,tensor(0.0500)
994,tensor(0.0433)
995,tensor(0.0478)
996,tensor(0.0485)
997,tensor(0.0499)
998,tensor(0.0493)
999,tensor(0.0496)
