,obj_value,,
972,5.792767048,,
973,5.793251991,,
974,5.792958736,,
975,5.793584347,,
976,5.796833992,,
977,5.798207283,,
978,5.798044682,,
979,5.797086239,,
980,5.798921108,,
981,5.800312042,,
982,5.800216675,,
983,5.800078869,,
984,5.799917221,,
985,5.798008919,,
986,5.797981262,,
987,5.797961235,,
988,5.798912048,,
989,5.801937103,,
990,5.80153513,,
991,5.803239822,,
992,5.803320885,,
993,5.805107117,,
994,5.804898262,,
995,5.808043957,,
996,5.807998657,,
997,5.808696747,,
998,5.810772419,,
999,5.811111927,,
1000,5.811619282,,
1001,5.812229633,,
1002,5.812084198,,
1003,5.812870026,,
1004,5.812542915,,
1005,5.812301159,,
1006,5.811844349,,
1007,5.810651302,,
1008,5.812059879,,
1009,5.814692497,,
1010,5.813052177,,
1011,5.815790653,,
1012,5.817594051,,
1013,5.819174767,,
1014,5.819509983,,
1015,5.821284771,,
1016,5.821243286,,
1017,5.820954323,,
1018,5.822180748,,
1019,5.823160172,,
1020,5.824482918,,
1021,5.825381279,,
1022,5.823575974,,
1023,5.824059963,,
1024,5.823400974,,
1025,5.823980331,,
1026,5.821761608,,
1027,5.823061466,,
1028,5.822472572,,
1029,5.822516918,,
1030,5.823260307,,
1031,5.823682308,,
1032,5.824142456,,
1033,5.824915886,,
1034,5.825246811,,
1035,5.825452805,,
1036,5.824148655,,
1037,5.82482338,,
1038,5.827114582,,
1039,5.828085423,,
1040,5.82941103,,
1041,5.829473019,,
1042,5.830971718,,
1043,5.833584785,,
1044,5.834429741,,
1045,5.834859848,,
1046,5.835757256,,
1047,5.836694717,,
1048,5.838106632,,
1049,5.838685513,,
1050,5.840910912,,
1051,5.841927528,,
1052,5.842720032,,
1053,5.842485905,,
1054,5.843326569,,
1055,5.845598221,,
1056,5.846335411,,
1057,5.846014023,,
1058,5.847537994,,
1059,5.847924709,,
1060,5.847222328,,
1061,5.84814024,,
1062,5.848094463,,
1063,5.849236488,,
1064,5.849022388,,
1065,5.850878716,,
1066,5.851140022,,
1067,5.852044106,,
1068,5.85299921,,
1069,5.853936195,,
1070,5.854177952,,
1071,5.851237297,,
1072,5.851557255,,
1073,5.851810455,,
1074,5.852726936,,
1075,5.853585243,,
1076,5.853399277,,
1077,5.854284763,,
1078,5.857773781,,
1079,5.857765198,,
1080,5.858175278,,
1081,5.859428883,,
1082,5.859465599,,
1083,5.85867548,,
1084,5.86000967,,
1085,5.861745834,,
1086,5.86202383,,
1087,5.862197399,,
1088,5.86142683,,
1089,5.861045837,,
1090,5.861667633,,
1091,5.8635993,,
1092,5.863051414,,
1093,5.864581108,,
1094,5.865120888,,
1095,5.867648125,,
1096,5.870202541,,
1097,5.869934082,,
1098,5.870464325,,
1099,5.87092638,,
1100,5.871082306,,
1101,5.876567841,,
1102,5.877964973,,
1103,5.877493382,,
1104,5.877371788,,
1105,5.87744379,,
1106,5.878914356,,
1107,5.880678654,,
1108,5.881097794,,
1109,5.882716179,,
1110,5.883805752,,
1111,5.88359499,,
1112,5.883711815,,
1113,5.884909153,,
1114,5.885083675,,
1115,5.885672092,,
1116,5.88572979,,
1117,5.886239529,,
1118,5.885928631,,
1119,5.887341976,,
1120,5.888466835,,
1121,5.889363766,,
1122,5.890113354,,
1123,5.892733574,,
1124,5.893286228,,
1125,5.893806458,,
1126,5.893715858,,
1127,5.896487236,,
1128,5.896732807,,
1129,5.896350384,,
1130,5.897539616,,
1131,5.899616241,,
1132,5.900765896,,
1133,5.901089191,,
1134,5.902710915,,
1135,5.90372324,,
1136,5.903964996,,
1137,5.904927254,,
1138,5.905577183,,
1139,5.906599522,,
1140,5.9069314,,
1141,5.907467842,,
1142,5.910968781,,
1143,5.912662506,,
1144,5.9126544,,
1145,5.914200783,,
1146,5.913754463,,
1147,5.9138484,,
1148,5.914800167,,
1149,5.913879395,,
1150,5.914018154,,
1151,5.915421486,,
1152,5.9150877,,
1153,5.915151596,,
1154,5.915327072,,
1155,5.914709091,,
1156,5.915092945,,
1157,5.915709496,,
1158,5.917223454,,
1159,5.91682291,,
1160,5.916659355,,
1161,5.917051792,,
1162,5.91802597,,
1163,5.91824007,,
1164,5.917897224,,
1165,5.91928196,,
1166,5.92007637,,
1167,5.919646263,,
1168,5.916215897,,
1169,5.917420387,,
1170,5.918127537,,
1171,5.917422295,,
1172,5.917052269,,
1173,5.917059898,,
1174,5.916578293,,
1175,5.918811798,,
1176,5.918469906,,
1177,5.920143127,,
1178,5.919839859,,
1179,5.918397903,,
1180,5.920455933,,
1181,5.920837402,,
1182,5.920810223,,
1183,5.921748638,,
1184,5.922449589,,
1185,5.927158356,,
1186,5.928115368,,
1187,5.927551746,,
1188,5.928015709,,
1189,5.928956509,,
1190,5.930417538,,
1191,5.930523396,,
1192,5.932451248,,
1193,5.933161736,,
1194,5.932733059,,
1195,5.933672905,,
1196,5.934820652,,
1197,5.934934139,,
1198,5.935849667,,
1199,5.937282562,,
1200,5.938452244,,
1201,5.938930511,,
1202,5.938999653,,
1203,5.939495087,,
1204,5.93962574,,
1205,5.939117908,,
1206,5.940673828,,
1207,5.941275597,,
1208,5.942877293,,
1209,5.943070412,,
1210,5.942203045,,
1211,5.942736626,,
1212,5.943103313,,
1213,5.943301201,,
1214,5.944866657,,
1215,5.945906639,,
1216,5.944989204,,
1217,5.945904255,,
1218,5.946480274,,
1219,5.946725845,,
1220,5.945075035,,
1221,5.947363853,,
1222,5.948683262,,
1223,5.947655678,,
1224,5.948636055,,
1225,5.949426651,,
1226,5.94920063,,
1227,5.94929409,,
1228,5.949631691,,
1229,5.950818539,,
1230,5.951938152,,
1231,5.953246593,,
1232,5.954284668,,
1233,5.955784798,,
1234,5.957238674,,
1235,5.957288742,,
1236,5.958063126,,
1237,5.958497524,,
1238,5.95893383,,
1239,5.959312916,,
1240,5.960234642,,
1241,5.961228371,,
1242,5.961684227,,
1243,5.96101284,,
1244,5.961013317,,
1245,5.961678505,,
1246,5.961357117,,
1247,5.961958408,,
1248,5.962353706,,
1249,5.962405682,,
1250,5.96262455,,
1251,5.962407589,,
1252,5.963275433,,
1253,5.964178562,,
1254,5.964347839,,
1255,5.964729786,,
1256,5.965219021,,
1257,5.965658665,,
1258,5.966813087,,
1259,5.965108871,,
1260,5.965938568,,
1261,5.967593193,,
1262,5.968913555,,
1263,5.968540668,,
1264,5.968286514,,
1265,5.968626022,,
1266,5.971942902,,
1267,5.973543167,,
1268,5.973830223,,
1269,5.973929405,,
1270,5.974982262,,
1271,5.973693848,,
1272,5.976131439,,
1273,5.976033688,,
1274,5.97660923,,
1275,5.976788998,,
1276,5.977729321,,
1277,5.977407932,,
1278,5.977623463,,
1279,5.978154182,,
1280,5.977657318,,
1281,5.978931427,,
1282,5.979922295,,
1283,5.980912209,,
1284,5.982045174,,
1285,5.98239851,,
1286,5.982257366,,
1287,5.982278347,,
1288,5.981619835,,
1289,5.981972694,,
1290,5.981397629,,
1291,5.981778622,,
1292,5.981624126,,
1293,5.982242584,,
1294,5.982730389,,
1295,5.983560562,,
1296,5.984996796,,
1297,5.987499237,,
1298,5.988572121,,
1299,5.989207268,,
1300,5.989441872,,
1301,5.989919186,,
1302,5.990125656,,
1303,5.991883278,,
1304,5.993118763,,
1305,5.994170189,,
1306,5.994624615,,
1307,5.995082378,,
1308,5.996963501,,
1309,5.999349117,,
1310,5.999712467,,
1311,6.00026226,,
1312,6.000669003,,
1313,6.002819538,,
1314,6.005324364,,
1315,6.005290985,,
1316,6.003888607,,
1317,6.002707481,,
1318,6.003040791,,
1319,6.005366325,,
1320,6.004637241,,
1321,6.004772663,,
1322,6.004475594,,
1323,6.005124569,,
1324,6.006086349,,
1325,6.007033825,,
1326,6.007031441,,
1327,6.004827499,,
1328,6.005439758,,
1329,6.001999855,,
1330,6.00404644,,
1331,6.004517078,,
1332,6.003955364,,
1333,6.005163193,,
1334,6.004628181,,
1335,6.005674839,,
1336,6.005988598,,
1337,6.005027294,,
1338,6.005246162,,
1339,6.006629944,,
1340,6.006950378,,
1341,6.007050037,,
1342,6.006310463,,
1343,6.00849247,,
1344,6.007232189,,
1345,6.008712292,,
1346,6.008305073,,
1347,6.008217335,,
1348,6.008813381,,
1349,6.009264946,,
1350,6.009418011,,
1351,6.009318829,,
1352,6.009219646,,
1353,6.009663582,,
1354,6.008882046,,
1355,6.00996685,,
1356,6.011018276,,
1357,6.010195732,,
1358,6.010942936,,
1359,6.010689259,,
