,obj_value,violate
593,5.786113739,0.047570562
594,5.784519672,0.047627369
595,5.787965775,0.048312038
596,5.793473721,0.044735707
597,5.789457798,0.043516814
598,5.786933899,0.043413188
599,5.789757729,0.043429492
600,5.7985425,0.044412521
601,5.800452232,0.044301784
602,5.799230576,0.042841742
603,5.801954746,0.0425761
604,5.812017918,0.04315704
605,5.80916214,0.043798312
606,5.809378624,0.043646946
607,5.81078434,0.045132208
608,5.814394951,0.04321179
609,5.814458847,0.043459062
610,5.815032482,0.043150357
611,5.81299448,0.041901587
612,5.816990852,0.038794389
613,5.823426247,0.039005905
614,5.824073315,0.039375022
615,5.824602604,0.038835152
616,5.830457687,0.038273306
617,5.843896389,0.034854496
618,5.841807842,0.036351442
619,5.838666439,0.03589825
620,5.840665817,0.036244043
621,5.842255116,0.035728119
622,5.844040871,0.036873002
623,5.846386433,0.03632417
624,5.847620964,0.035403848
625,5.849821091,0.035020975
626,5.846668243,0.035814978
627,5.854050159,0.037423355
628,5.849783897,0.037417316
629,5.851811409,0.03780339
630,5.849536419,0.037236919
631,5.852499962,0.036131005
632,5.849585533,0.036877528
633,5.847076893,0.03747957
634,5.846038342,0.038074358
635,5.844518661,0.041749466
636,5.852854729,0.042376584
637,5.859987259,0.042400037
638,5.87192297,0.044402836
639,5.868321419,0.046116202
640,5.872326851,0.045989468
641,5.868617058,0.044761307
642,5.867879868,0.044719981
643,5.870563507,0.046381809
644,5.869595051,0.045473498
645,5.872402191,0.040944928
646,5.874360561,0.040459484
647,5.87064743,0.041296978
648,5.871287823,0.04118196
649,5.855104923,0.041096043
650,5.855617523,0.038728908
651,5.85384798,0.037908437
652,5.866476536,0.037217055
653,5.870323658,0.036454067
654,5.870912552,0.035681491
655,5.869862556,0.03635812
656,5.874575615,0.035848954
657,5.880510807,0.033968278
658,5.882637024,0.034981208
659,5.882936478,0.03262523
660,5.882170677,0.032912841
661,5.882750034,0.034568044
662,5.883737087,0.033912496
663,5.887382507,0.034200682
664,5.886435032,0.033350042
665,5.889737606,0.034066205
666,5.891326904,0.033695263
667,5.894406319,0.033060942
668,5.897232533,0.033646338
669,5.898441792,0.034070538
670,5.899695873,0.034514623
671,5.897751808,0.03361532
672,5.886904716,0.036400307
673,5.884524345,0.035037982
674,5.885759354,0.034813483
675,5.886915684,0.034545866
676,5.891013622,0.032388097
677,5.892793655,0.032219474
678,5.89096117,0.032677174
679,5.896550179,0.033383132
680,5.897031784,0.033683596
681,5.902445793,0.032631419
682,5.902564049,0.031266398
683,5.90358305,0.031723398
684,5.901788712,0.032460959
685,5.905763626,0.033052494
686,5.907530308,0.033986988
687,5.90747118,0.034064986
688,5.909425735,0.032607992
689,5.91133213,0.03183612
690,5.908035755,0.033186347
691,5.910580635,0.032920634
692,5.916931629,0.03241695
693,5.913695335,0.03210988
694,5.907545567,0.033933287
695,5.90759182,0.032082475
696,5.90523243,0.031520613
697,5.901058197,0.032198233
698,5.911314964,0.030355888
699,5.911309242,0.032060034
700,5.915599346,0.032951648
701,5.917062759,0.033840687
702,5.920948982,0.034066905
703,5.920471191,0.034809776
704,5.918282986,0.034533782
705,5.920527935,0.034166294
706,5.920741558,0.036131976
707,5.920302391,0.035907911
708,5.919206142,0.037026168
709,5.921150684,0.038028826
710,5.922021866,0.038505961
711,5.921079159,0.037957985
712,5.924035072,0.037641583
713,5.933700085,0.034269247
714,5.932719231,0.033846937
715,5.933280468,0.033093644
716,5.932221889,0.030107857
717,5.927158356,0.030709692
718,5.927951336,0.031128977
719,5.928622723,0.031478265
720,5.929006577,0.030908473
721,5.933848858,0.033197789
722,5.935325623,0.032243723
723,5.928113937,0.034399954
724,5.933857441,0.033871476
725,5.934708118,0.034552936
726,5.934167385,0.03451097
727,5.935008526,0.035304896
728,5.935576439,0.035943874
729,5.930478096,0.036332959
730,5.93401432,0.036535292
731,5.928870201,0.038115551
732,5.928350925,0.03727829
733,5.93064785,0.035974307
734,5.929458141,0.036367865
735,5.927988052,0.036226591
736,5.927300453,0.036552169
737,5.924147606,0.037492983
738,5.921785355,0.037459031
739,5.920203209,0.035661496
740,5.919146538,0.035709303
741,5.922138214,0.037464327
742,5.917892456,0.036406265
743,5.913852692,0.034338116
744,5.914412498,0.035484501
745,5.912093163,0.03420248
746,5.910422325,0.032564377
747,5.914138794,0.033594852
748,5.910336494,0.034009439
749,5.912494183,0.033427099
750,5.914333344,0.034507864
751,5.913346767,0.035420296
752,5.915632725,0.037924168
753,5.916295528,0.038339816
754,5.909312725,0.041743998
755,5.911928654,0.040036201
756,5.917874336,0.041766288
757,5.922338486,0.045637382
758,5.92135191,0.044705299
759,5.920030594,0.043804523
760,5.910033703,0.047523916
761,5.909693718,0.0461074
762,5.909226418,0.046057647
763,5.910294056,0.045130034
764,5.911525726,0.044669733
765,5.910259724,0.045422424
766,5.912487507,0.045539298
767,5.915639877,0.044642397
